SMILES,ChemBank_Name,GROUP,idCpd,canvasUID,FractionCSP3,MolWt,RingCount,TotalRing,NumBridges,nBondRings,nAtomRings,ringFusionDensity,ringFusionDegree,ringComplexityIndex,molecularCyclizedDegree,NumRingSystems,NumChiralCenters
C=C(CCCCCCCC(=O)[O-])C(=O)[O-],ACon1_002157,NP,8309,8309,0.6363636363636364,212.24499999999995,0,,,,,,,,,,0
CC1(C)CCC2(C(=O)[O-])CCC3(C)C(=CCC4C5(C)CCC(OC6OC(CO)C(O)C(OC7OC(CO)C(O)C(O)C7O)C6O)C(C)(C)C5CCC43C)C2C1,ACon1_002158,NP,8310,8310,0.9285714285714286,779.9850000000001,7,42,4,38,34,0.23529411764705882,2.3333333333333335,1.2352941176470589,0.6181818181818182,3,18
CC1OC(Oc2ccc(-c3coc4cc(OC5OC(C)C(O)C(O)C5O)ccc4c3=O)cc2)C(O)C(O)C1O,ACon1_002159,NP,8311,8311,0.4444444444444444,546.5250000000002,5,30,1,29,28,0.07142857142857142,1.25,1.0714285714285714,0.717948717948718,4,10
CC(=O)NC1CCCN(O)C(=O)C=C(C)CCOC(=O)C(NC(C)=O)CCCN(O)C(=O)C=C(C)CCOC(=O)C(NC(C)=O)CCCN(O)C(=O)C=C(C)CCOC1=O,ACon1_002160,NP,8312,8312,0.6153846153846154,852.9359999999999,1,36,0,36,36,0.0,1.0,1.0,0.6,1,3
CC(C)c1cc2c(c(O)c1O)C13CCCC(C)(C)C1C(OC3=O)C2O,ACon1_002161,NP,8313,8313,0.65,346.423,4,23,3,19,16,0.375,4.0,1.4375,0.64,1,4
COc1ccc(-c2cc(=O)c3c(O)c(OC)c(OC4OC(CO)C(O)C(O)C4OC4OC(C)C(O)C(O)C4O)cc3o2)cc1,ACon1_002162,NP,8314,8314,0.4827586206896552,622.5760000000004,5,30,1,29,28,0.07142857142857142,1.25,1.0714285714285714,0.6363636363636364,4,10
CC1CC(=O)C2C(O)(C1)CC(O)C13OC1c1c(O)cccc1C(=O)C23O,ACon1_002163,NP,8315,8315,0.5789473684210527,360.3620000000001,5,27,4,23,19,0.42105263157894735,5.0,1.4210526315789473,0.7307692307692307,1,7
CC(=O)OC(C)(C)/C=C/C(=O)C(C)(O)C1C(O)CC2(C)C3CC=C4C(C=C(OC5OC(CO)C(O)C(O)C5O)C(=O)C4(C)C)C3(C)C(=O)CC12C,ACon1_002164,NP,8316,8316,0.7368421052631579,718.8370000000001,5,29,3,26,23,0.2608695652173913,2.5,1.2608695652173914,0.45098039215686275,2,13
COC(=O)C1=COC(OC2OC(CO)C(O)C(O)C2O)C2C(C)C(O)C(OC(=O)/C=C/c3ccc(O)cc3)C12,ACon1_002165,NP,8317,8317,0.5384615384615384,552.5290000000002,4,23,1,22,21,0.09523809523809523,1.3333333333333333,1.0952380952380953,0.5384615384615384,3,11
COc1c(O)cc2oc(-c3ccc(OC4OC(CO)C(O)C(O)C4O)cc3)cc(=O)c2c1O,ACon1_002166,NP,8318,8318,0.3181818181818182,462.40700000000015,4,24,1,23,22,0.09090909090909091,1.3333333333333333,1.0909090909090908,0.6666666666666666,3,5
CC1OC(OC2C(CO)OC(OC3CCC4(C)C(CCC5(C)C4CC=C4C6CC(C)(C)C(O)CC6(C(=O)[O-])C(O)CC45C)C3(C)C)C(O)C2O)C(O)C(OC2OCC(O)C(O)C2O)C1O,ACon1_002167,NP,8319,8319,0.9361702127659575,928.0990000000005,8,48,4,44,40,0.2,2.0,1.2,0.6153846153846154,4,24
CC(C)C(NC(=O)C(C)[NH+](C)C)C(=O)N1CCC2Oc3ccc(cc3)C=CNC(=O)C(Cc3ccccc3)NC(=O)C21,ACon1_002168,NP,8320,8320,0.4375,576.7180000000002,5,45,17,27,25,1.36,2.0,1.8,0.5952380952380952,2,5
CC1(CO)CC(=O)CC2(C)C3=C(CCC12)C(=O)OC3,ACon1_002169,NP,8321,8321,0.7333333333333333,264.32099999999997,3,17,2,15,13,0.3076923076923077,3.0,1.3076923076923077,0.6842105263157895,1,3
CC1CCC2C(C)(C)C(=O)CCC2(C)C12Cc1c(O)cc3c(c1O2)CN(C(CCC(=O)[O-])C(=O)[O-])C3=O,ACon1_002170,NP,8322,8322,0.6428571428571429,511.57100000000037,5,28,3,25,21,0.2857142857142857,5.0,1.3333333333333333,0.5675675675675675,1,5
CCCc1c(C(=O)[O-])cc2c(c1O)C(=O)c1c(O)cccc1C2=O,ACon1_002171,NP,8323,8323,0.16666666666666666,325.2960000000001,3,18,2,16,14,0.2857142857142857,3.0,1.2857142857142858,0.5833333333333334,1,0
O=C1NC2CCc3nc4ccccc4c(=O)n3C2=Nc2ccccc21,ACon1_002172,NP,8324,8324,0.15789473684210525,330.3470000000001,5,31,4,27,23,0.34782608695652173,5.0,1.3478260869565217,0.92,1,1
O=C(OCC1OC(Oc2ccc(O)cc2)C(O)C(O)C1O)c1ccc(O)cc1,ACon1_002173,NP,8325,8325,0.3157894736842105,392.3600000000001,3,18,0,18,18,0.0,1.0,1.0,0.6428571428571429,3,5
COC1=CC(=O)CC(C)C12Oc1cc(OC)cc(OC)c1C2=O,ACon1_002174,NP,8326,8326,0.4117647058823529,318.3250000000001,3,17,1,16,14,0.14285714285714285,3.0,1.2142857142857142,0.6086956521739131,1,2
COc1cc(O)c2c(c1)C1=CC(O)C(O)CC1(C)OC2=O,ACon1_002175,NP,8327,8327,0.4,292.28700000000003,3,18,2,16,14,0.2857142857142857,3.0,1.2857142857142858,0.6666666666666666,1,3
O=C(CCCCc1ccc(O)c(O)c1)CCc1ccc(O)c(O)c1,ACon1_002176,NP,8328,8328,0.3157894736842105,330.38000000000005,2,12,0,12,12,0.0,1.0,1.0,0.5,2,0
COc1ccc(/C=C/C(=O)OC2C(C)OC(OC3C=C(CO)C4C(OC5OC(CO)C(O)C(O)C5O)OC=CC34)C(O)C2O)cc1O,ACon1_002177,NP,8329,8329,0.5806451612903226,668.6450000000006,5,29,1,28,27,0.07407407407407407,1.25,1.0740740740740742,0.574468085106383,4,14
CC1OC(OCC2OC(Oc3c(-c4ccc(O)cc4)oc4cc(O)cc(O)c4c3=O)C(O)C(O)C2O)C(O)C(O)C1O,ACon1_002178,NP,8330,8330,0.4444444444444444,594.5220000000004,5,30,1,29,28,0.07142857142857142,1.25,1.0714285714285714,0.6666666666666666,4,10
C=C(CO)C(=O)OC1CC(=C)C2CC(=O)C(C)C2C2OC(=O)C(=C)C12,ACon1_002179,NP,8331,8331,0.5263157894736842,346.3790000000001,3,17,2,15,13,0.3076923076923077,3.0,1.3076923076923077,0.52,1,6
CC(=O)OCC#Cc1ccc(-c2ccccc2)s1,ACon1_002180,NP,8332,8332,0.13333333333333333,256.326,2,11,0,11,11,0.0,1.0,1.0,0.6111111111111112,2,0
CC1CCOC(=O)C=CC=CC(=O)OC2CC3OC4C=C(C(=O)[O-])CCC4(COC(=O)C1O)C2(C)C31CO1,ACon1_002181,NP,8333,8333,0.6296296296296297,531.5340000000004,5,38,5,33,29,0.3448275862068966,5.0,1.3103448275862069,0.7631578947368421,1,8
COC(=O)C1(C)CCCC2(C)C(CCC3=CC(=O)OC3)C(C)=CCC12,ACon1_002182,NP,8334,8334,0.7142857142857143,346.4670000000001,3,17,1,16,15,0.13333333333333333,1.5,1.1333333333333333,0.6,2,4
CNc1ccccc1C(=O)OC1OC(C)C(O)C(O)C1O,ACon1_002183,NP,8335,8335,0.5,297.307,2,12,0,12,12,0.0,1.0,1.0,0.5714285714285714,2,5
C=CC(C)(O)CC/C=C(\C)CC(O)C=C(C)C,ACon1_002184,NP,8336,8336,0.6,238.37099999999998,0,,,,,,,,,,2
CCCC(O)C(O)C1CC(OC)=CC(=O)O1,ACon1_002185,NP,8337,8337,0.7272727272727273,230.25999999999993,1,6,0,6,6,0.0,1.0,1.0,0.375,1,3
CC1(C)CCC2(C(=O)[O-])CCC3(C)C(=CCC4C5(C)CC(O)C(O)C(C)(CO)C5CCC43C)C2C1,ACon1_002186,NP,8338,8338,0.9,487.70100000000036,5,30,4,26,22,0.36363636363636365,5.0,1.3636363636363635,0.6285714285714286,1,10
C=C1CCC(O)C/C1=C/C=C1\CCCC2(C)C1CCC2C(C)/C=C/C(C)C(C)C,ACon1_002187,NP,8339,8339,0.7142857142857143,396.6590000000003,3,17,1,16,15,0.13333333333333333,1.5,1.1333333333333333,0.5172413793103449,2,6
