SMILES,ChemBank_Name,GROUP,idCpd,FractionCSP3,MolWt,RingCount,TotalRing,NumBridges,nBondRings,nAtomRings,ringFusionDensity,ringFusionDegree,ringComplexityIndex,molecularCyclizedDegree,NumRingSystems,NumChiralCenters
CC(C)c1ccc(C2C(C#N)=C(N)C(C#N)(C#N)C3=CCN(C)CC32)cc1,TimTec1_001202,CC,4538,0.4090909090909091,357.46100000000007,3,18,1,17,16,0.125,1.5,1.125,0.5925925925925926,2,2
COC(=O)C1=CN2C(C#N)C(c3cccnc3)C(C(=O)OC)(C(=O)OC)C2C=C1,TimTec1_001203,CC,4539,0.35,397.3870000000002,3,17,1,16,15,0.13333333333333333,1.5,1.1333333333333333,0.5172413793103449,2,3
CCNC(=O)c1sc(C)nc1N,TimTec1_001204,CC,4540,0.42857142857142855,185.25199999999998,1,5,0,5,5,0.0,1.0,1.0,0.4166666666666667,1,0
CSc1nc(SCC(=O)C(C)C)nc(N)c1C#N,TimTec1_001205,CC,4541,0.45454545454545453,282.394,1,6,0,6,6,0.0,1.0,1.0,0.3333333333333333,1,0
CC(=O)Nc1nc2ccccc2s1,TimTec1_001206,CC,4542,0.1111111111111111,192.243,2,11,1,10,9,0.2222222222222222,2.0,1.2222222222222223,0.6923076923076923,1,0
N#CC1=C(N)Nc2c(c(=O)oc3ccccc23)C1c1ccc(Br)cc1,TimTec1_001207,CC,4543,0.05263157894736842,394.2280000000001,4,24,2,22,20,0.2,2.0,1.2,0.8,2,1
CC1(C)C(C(=O)Nc2ccccc2C#N)C1(C)C,TimTec1_001208,CC,4544,0.4666666666666667,242.322,2,9,0,9,9,0.0,1.0,1.0,0.5,2,0
CC1=CC(c2ccccc2)=C(C#N)C(=S)C1CC(=O)c1cccs1,TimTec1_001209,CC,4545,0.15,349.48,3,17,0,17,17,0.0,1.0,1.0,0.7083333333333334,3,1
Cc1ccc(S(=O)(=O)N(CCO)c2cc3c(s2)CCCC3)cc1,TimTec1_001210,CC,4546,0.4117647058823529,351.49300000000017,3,17,1,16,15,0.13333333333333333,1.5,1.1333333333333333,0.6521739130434783,2,0
Cn1c2c(c3cc(C4CCCCC4)ccc31)CCCCC2=O,TimTec1_001211,CC,4547,0.55,295.4260000000001,4,24,2,22,20,0.2,2.0,1.2,0.9090909090909091,2,0
CC1=NN(c2ccccc2)C(=O)/C1=C\c1c[nH]nc1-c1ccccc1,TimTec1_001212,CC,4548,0.05,328.37500000000006,4,22,0,22,22,0.0,1.0,1.0,0.88,4,0
NC(=O)c1nnn(Cc2ccccc2)c1N,TimTec1_001213,CC,4549,0.1,217.23200000000003,2,11,0,11,11,0.0,1.0,1.0,0.6875,2,0
N#Cc1c(C(F)(F)F)cc(-c2cccs2)oc1=S,TimTec1_001214,CC,4550,0.09090909090909091,287.287,2,11,0,11,11,0.0,1.0,1.0,0.6111111111111112,2,0
NC(=O)c1ccc(N2CC[NH+](C(c3ccccc3)c3ccccc3)CC2)nc1,TimTec1_001215,CC,4551,0.21739130434782608,373.48,4,24,0,24,24,0.0,1.0,1.0,0.8571428571428571,4,0
O=C(NCCC(c1ccccc1)c1ccccc1)c1cc2ccccc2c(=O)o1,TimTec1_001216,CC,4552,0.12,383.4470000000002,4,24,1,23,22,0.09090909090909091,1.3333333333333333,1.0909090909090908,0.7586206896551724,3,0
O=c1[nH]ncc(NCC2CCCO2)c1Cl,TimTec1_001217,CC,4553,0.5555555555555556,229.66699999999997,2,11,0,11,11,0.0,1.0,1.0,0.7333333333333333,2,1
Cc1cc(C)c(C(=O)N2Cc3ccccc3NC2=S)c(C)c1,TimTec1_001218,CC,4554,0.2222222222222222,310.4220000000001,3,18,1,17,16,0.125,1.5,1.125,0.7272727272727273,2,0
N#CC(C(=O)Nc1ccccc1)=C1CCCC1,TimTec1_001219,CC,4555,0.2857142857142857,226.2789999999999,2,11,0,11,11,0.0,1.0,1.0,0.6470588235294118,2,0
c1ccc(CN2CC[NH+](Cc3ccccc3)C2c2ccco2)cc1,TimTec1_001220,CC,4556,0.23809523809523808,319.428,4,22,0,22,22,0.0,1.0,1.0,0.9166666666666666,4,2
O=C(Nc1ccccc1C(=O)Nc1ccccc1)c1cccs1,TimTec1_001221,CC,4557,0.0,322.389,3,17,0,17,17,0.0,1.0,1.0,0.7391304347826086,3,0
CCc1ccc(C(=O)CC2OC(=O)c3c2ccc(OC)c3OC)cc1,TimTec1_001222,CC,4558,0.3,340.37500000000006,3,17,1,16,15,0.13333333333333333,1.5,1.1333333333333333,0.6,2,1
CCC(=O)Nc1sc2c(c1C(=O)N1CCCCC1)CCCCC2,TimTec1_001223,CC,4559,0.6666666666666666,334.4850000000001,3,18,1,17,16,0.125,1.5,1.125,0.6956521739130435,2,0
O=C1CC(Sc2ccc(Cl)cc2)C(=O)N1c1ccc(Br)cc1,TimTec1_001224,CC,4560,0.125,396.693,3,17,0,17,17,0.0,1.0,1.0,0.7727272727272727,3,1
O=C1CCN(c2ccccc2)N1,TimTec1_001225,CC,4561,0.2222222222222222,162.192,2,11,0,11,11,0.0,1.0,1.0,0.9166666666666666,2,0
CC(C)(C)c1ccc(N2C(=O)CCC2=O)cc1,TimTec1_001226,CC,4562,0.42857142857142855,231.29499999999993,2,11,0,11,11,0.0,1.0,1.0,0.6470588235294118,2,0
N/N=C1/CCCc2c1[nH]c1ccc(C(F)(F)F)cc21,TimTec1_001227,CC,4563,0.3076923076923077,267.25399999999996,3,17,2,15,13,0.3076923076923077,3.0,1.3076923076923077,0.6842105263157895,1,0
Cc1cccc(Cc2c(C)c3c(C)n[nH]c3oc2=O)c1,TimTec1_001228,CC,4564,0.25,268.316,3,17,1,16,15,0.13333333333333333,1.5,1.1333333333333333,0.75,2,0
